Algoritmo,Optimizador/estrategia,Tiempo  búsqueda  cuántica,Tiempo pythorch,coste total real,Evals. Circuito,Precisión surrogada,PRECISIÓN REAL,Gap de precisión,Nº Puertas CNOTs,Depth,Qbits,Pros,Contras,,,,,,
Randon Forest (clásico),Random Forest + Adam,,~13.5 h,~13.5 h,250 muestras (Inferencia de 32.768),81.73% (2 épocas),81.73% (2 épocas),0.0%,N/A (Hardware Clásico),N/A (Hardware Clásico),,"Establece el techo de precisión real (81,73%) que todos los algoritmos cuánticos intentan igualar con un coste computacional radicalmente inferior. Su entrenamiento clásico es completamente reproducible, determinista y libre de ruido cuántico, lo que lo convierte en el único baseline con gap surrogada/real de 0,00%.","Coste de entrenamiento extremo (~13,5 h) por explorar 32.768 combinaciones de hiperparámetros por fuerza bruta, frente a los segundos o minutos de los enfoques cuánticos. No aprovecha superposición ni entrelazamiento.",,ALGORITMOS VARIACIONALES (VQA),,,APRENDIZAJE CUÁNTICO (QML),
Optimización Bayesiana (clásica),Procesos Gaussianos (GP) + Expected Improvement.,36.08 s,199.29 s,235.37 s,250 muestras (Inferencia de 32.768),81.02% ± 0.13%,81.83% ± 0.44%,0.81%,N/A (Hardware Clásico),N/A (Hardware Clásico),,Extrema eficiencia de muestras (Sample Efficiency). Roza el óptimo global con muy pocas llamadas a la función objetivo.,Es un proceso puramente secuencial que escala de forma cúbica en tiempo computacional clásico frente a la cantidad de evaluaciones.,,,VQE Y VARIANTES,,,OPTIMIZACIÓN BAYESIANA CUÁNTICA
VQE ( Pauli Z ),COBYLA (Heurístico),18.14 s,161.55 s,179.69 s,"900,00",80.86% ± 0.25%,81.73% ± 0.38%,0.87%,"28,00",19.0 capas,15,Convergencia estable y fácil implementación en simuladores.,Muy sensible a barren plateaus y al ruido en hardware físico.,,,QAOA- BASE/REFERENCIA,,,KERNEL CUÁNTICO
QITE-VQE,COBYLA + Proyección QITE,8.26 s,284.08 s,292.34 s,"300,00",80.65% ± 0.18%,82.03% ± 0.27%,1.37%,"28,00",22.0 capas,15,Filtra errores naturalmente al evolucionar por tiempo imaginario.,Sobrecarga matemática en la proyección clásica-cuántica en cada paso.,,,QAOA- MIXER/OPERADOR,,,MODELOS GENERATIVOS CUÁNTICOS
ADAPT-VQE,Gradientes + SOAP,3.14 s,174.54 s,177.68 s,"678,00",80.84% ± 0.00%,81.69% ± 0.43%,0.85%,"0,00",1.0 capas,15,Arquitectura ultracompacta que añade solo las rotaciones necesarias.,Requiere un número masivo de iteraciones para construir el ansatz.,,,QAOA-INICIALIZACIÓN/WARM START,,,MULTI-FIDELITY/HÍBRIDO
CVaR-VQE,COBYLA + Filtro CVaR,2.16 s,104.98 s,107.14 s,"200,00",69.56% ± 13.46%,76.56% ± 6.29%,7.00%,"14,00",16.0 capas,15,"El circuito más compacto de toda la familia VQE (14 CNOTs, 16 capas), lo que lo convierte en el candidato más resistente al ruido físico entre los algoritmos VQE evaluados.","Precisión real de apenas 76,56% ± 6,29%, la más baja de la familia VQE y la segunda peor de toda la batería. El filtro CVaR descarta el 76% de las muestras, concentrando el aprendizaje en el cuartil superior y sacrificando la estabilidad de la convergencia.",,,QAOA-OPTIMIZADOR CLÁSICO GUIADO,,,APRENDIZAJE POR REFUERZO
VAns (Variable Ansatz),L-BFGS-B + Arquitectura Variable (QAS),159.85 s,332.25 s,492.10 s,"8.959,40",79.99% ± 0.29%,81.59% ± 0.63%,1.59%,"10,00",8.4 capas,15,"Construye circuitos extremadamente compactos (10 CX), ideales para evitar la decoherencia NISQ.","El crecimiento iterativo dispara drásticamente la carga clásica (8959,4 evaluaciones) frente a los ansatze estáticos.",,,QAOA-REDUCCIÓN/ESCALADO,,,META APRENDIZAJE CUÁNTICO
VQSD (Variational Quantum State Diagonalization),L-BFGS-B,8.89 s,735.87 s,744.76 s,"273,00",78.47% ± 1.88%,80.59% ± 1.58%,2.12%,"28,00",22.0 capas,15,"Algoritmo extremadamente versátil: al diagonalizar el estado cuántico, permite explorar la robustez del modelo frente a perturbaciones en el espacio de Hilbert sin necesidad de definir un hamiltoniano de coste explícito.","El algoritmo sufre de ""Barren Plateaus"" (mesetas de gradiente nulo) inducidos por el ruido y la profundidad de los circuitos a medida que se escala el número de qubits, dificultando enormemente su entrenamiento sin técnicas de inicialización avanzadas.",,,OPTIMIZADORES SIN GRADIENTES/FEEDBACK,,,
QAOA,COBYLA,0.56 s,1716.99 s,1717.54 s,"102,40",69.31% ± 7.69%,77.34% ± 4.06%,8.03%,"20.488,00",21200.0 capas,15,"Tiempo de búsqueda cuántica casi instantáneo (0,56 s) y mínimo número de evaluaciones (102), convirtiéndolo en el punto de partida de referencia para todas las variantes QAOA.","Precisión real del 77,34% ± 4,06% (gap de 8,03%), la segunda peor de la tabla. El tiempo de PyTorch (1.716,99 s) anula la ventaja cuántica, resultando en el segundo coste total más alto de toda la batería (1.717,54 s). Carece de la expresividad necesaria para capturar correlaciones de orden superior.",,,,,BÚSQUEDA CUÁNTICA,
GM-QAOA (Grover Mixers for QAOA),COBYLA + Shifting Complexity,0.16 s,139.92 s,140.08 s,"51,20",80.94% ± 0.00%,81.73% ± 0.33%,0.79%,"1.389,00",2222.0 capas,15,Alta precisión a p=1 desplazando la complejidad a la inicialización.,Dependencia de un pre-filtrado clásico para ser efectivo.,,BÚSQUEDA DE ARQUITECTURAS CUÁNTICAS (QAS),,,,BÚSQUEDA TIPO GROVER
